title,author,price,pages,avg_reviews,n_reviews,dimensions,weight,language
Data Science in Education Using R,"[Ryan A. Estrellado,Jesse Mostipak et al.]",48.95,284,4.6,15,6.85 x 0.72 x 9.69 inches,1.31 pounds,English
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),,84.99,394,4.3,53,6.1 x 0.93 x 9.25 inches,1.48 pounds,English
Statistics for Beginners in Data Science: Theory and Applications of Essential Statistics Concepts using Python (Machine Learning & Data Science for Beginners),,17.99,188,4.3,22,6 x 0.43 x 9 inches,9.1 ounces,English
Detecting Regime Change in Computational Finance: Data Science Machine Learning and Algorithmic Trading,"[Jun Chen,Edward P K Tsang]",54.95,138,,0,6.14 x 0.35 x 9.21 inches,10.6 ounces,English
Massive Graph Analytics (Chapman & Hall/CRC Data Science Series),,150,590,,0,7 x 1.5 x 10 inches,2.86 pounds,English
Practical Data Science with R,"[Nina Zumel,John Mount]",35.74,483,4.5,36,7.38 x 1.2 x 9.25 inches,2.29 pounds,English
Neo4j Graph Data Science Certified: Exam Practice Tests,[Cristian Scutaru],14.99,118,4.5,2,6 x 0.27 x 9 inches,6.1 ounces,English
Grokking Machine Learning,[Luis Serrano],47.99,512,4.6,10,7.38 x 1.1 x 9.25 inches,1.9 pounds,English
Data Science for Immunologists,"[Niclas Thomas,Laura Pallett]",28.06,159,4.7,18,7 x 0.38 x 10 inches,12 ounces,English
Data Science Analytics and Machine Learning with R,"[Luiz Paulo Favero,Patricia Belfiore et al.]",150,924,,0,,1.11 pounds,English
The TensorFlow Workshop: A hands-on guide to building deep learning models from scratch using real-world datasets,"[Matthew Moocarme,Anthony So et al.]",41.99,600,4.3,26,7.5 x 1.36 x 9.25 inches,2.24 pounds,English
Data Action: Using Data for Public Good,[Sarah Williams],33.69,312,4.7,38,9.2 x 0.89 x 10.29 inches,3.05 pounds,English
Data Governance For Dummies,[Jonathan Reichental],34.99,320,,0,,1.47 pounds,English
A Criminologists Guide to R: Crime the Numbers (Chapman & Hall/CRC The R Series),[Jacob Kaplan],79.96,434,,0,,1.74 pounds,English
Marketing Analytics: A Practical Guide to Improving Consumer Insights Using Data Techniques,[Mike Grigs],35.99,240,4.4,50,5.91 x 0.79 x 9.06 inches,14.1 ounces,English
Applied Data Science: Lessons Learned for the Data-Driven Business,"[Martin Braschler,Thilo Stadelmann et al.]",179.99,478,1,1,6.14 x 1.06 x 9.21 inches,1.94 pounds,English
The Pandas Workshop: A comprehensive guide to using Python for data analysis with real-world case studies,"[Blaine Bateman,Saikat Basak et al.]",47.49,744,4.6,10,7.5 x 1.68 x 9.25 inches,2.77 pounds,English
Data Modeling for Azure Data Services: Implement professional data design and structures in Azure,[Peter ter Braake],51.99,428,4.6,16,7.5 x 0.97 x 9.25 inches,1.61 pounds,English
SQL for Data Analytics: Perform fast and efficient data analysis with the power of SQL,"[Upom Malik,Matt Goldwasser et al.]",27.89,386,4.4,226,7.5 x 0.87 x 9.25 inches,1.46 pounds,English
